[17:54:46] 🐋 WHALE BUY: 76.06 ETH @ $2077.53
[17:54:51] 🐋 WHALE BUY: 50.04 ETH @ $2078.03
[17:54:51] 🐋 WHALE BUY: 78.51 ETH @ $2078.18
[17:55:02] 🐋 WHALE SELL: 85.31 ETH @ $2076.14
[17:55:08] 🐋 WHALE SELL: 111.32 ETH @ $2075.97
[17:55:29] 🐋 WHALE SELL: 72.21 ETH @ $2075.31
[17:55:34] 🐋 WHALE SELL: 50.40 ETH @ $2074.68
[17:55:39] 🐋 WHALE BUY: 55.27 ETH @ $2075.56
[17:55:50] 🐋 WHALE SELL: 106.69 ETH @ $2075.02
[17:55:55] 🐋 WHALE SELL: 80.31 ETH @ $2075.46
[17:56:22] 🐋 WHALE SELL: 78.16 ETH @ $2074.7
[17:56:33] 🐋 WHALE SELL: 50.76 ETH @ $2073.74
[17:56:33] 🐋 WHALE BUY: 160.00 ETH @ $2073.69
[17:56:38] 🐋 WHALE BUY: 57.81 ETH @ $2073.62
[17:57:04] 🐋 WHALE SELL: 80.15 ETH @ $2073.39
[17:57:15] 🐋 WHALE BUY: 117.54 ETH @ $2074.25
[17:57:37] 🐋 WHALE BUY: 103.16 ETH @ $2072.98
[17:57:47] 🐋 WHALE BUY: 70.81 ETH @ $2073.01
[17:57:52] 🐋 WHALE SELL: 72.97 ETH @ $2073.69
[17:58:14] 🐋 WHALE BUY: 51.39 ETH @ $2073.6
[17:58:19] 🐋 WHALE BUY: 60.49 ETH @ $2073.6
[17:58:29] 🐋 WHALE SELL: 57.89 ETH @ $2073.34
[17:58:40] 🐋 WHALE SELL: 58.14 ETH @ $2073.79
[17:58:40] 🐋 WHALE SELL: 90.00 ETH @ $2073.95
[18:00:05] 🐋 WHALE SELL: 67.12 ETH @ $2073.73
[18:00:37] 🐋 WHALE SELL: 66.95 ETH @ $2072.09
[18:00:48] 🐋 WHALE SELL: 84.64 ETH @ $2071.62
[18:00:53] 🐋 WHALE BUY: 195.74 ETH @ $2071.81
[18:00:53] 🐋 WHALE SELL: 100.00 ETH @ $2071.8
[18:01:09] 🐋 WHALE SELL: 84.36 ETH @ $2071.11
[18:01:25] 🐋 WHALE BUY: 50.43 ETH @ $2070.73
[18:01:36] 🐋 WHALE BUY: 54.15 ETH @ $2070.43
[18:02:07] 🐋 WHALE BUY: 68.82 ETH @ $2069.29
[18:02:29] 🐋 WHALE BUY: 188.61 ETH @ $2069.3
[18:02:40] 🐋 WHALE SELL: 62.23 ETH @ $2068.36
[18:02:40] 🐋 WHALE BUY: 123.61 ETH @ $2068.37
[18:03:17] 🐋 WHALE SELL: 55.71 ETH @ $2066.95
[18:03:22] 🐋 WHALE SELL: 300.15 ETH @ $2067.21
[18:03:33] 🐋 WHALE SELL: 110.61 ETH @ $2066.31
[18:03:54] 🐋 WHALE SELL: 93.17 ETH @ $2067.2
[18:03:59] 🐋 WHALE SELL: 141.82 ETH @ $2067.64
[18:04:05] 🐋 WHALE SELL: 143.90 ETH @ $2067.65
[18:04:05] 🐋 WHALE BUY: 56.57 ETH @ $2067.66
[18:04:21] 🐋 WHALE BUY: 95.98 ETH @ $2067.2
[18:04:53] 🐋 WHALE BUY: 91.06 ETH @ $2066.61
[18:05:03] 🐋 WHALE SELL: 296.94 ETH @ $2065.99
[18:05:24] 🐋 WHALE BUY: 60.00 ETH @ $2065.7
[18:05:30] 🐋 WHALE SELL: 62.56 ETH @ $2066.65
[18:05:35] 🐋 WHALE BUY: 59.62 ETH @ $2066.22
[18:05:56] 🐋 WHALE BUY: 79.27 ETH @ $2065.47
[18:06:28] 🐋 WHALE SELL: 70.66 ETH @ $2067.79
[18:06:39] 🐋 WHALE SELL: 257.54 ETH @ $2067.3
[18:07:05] 🐋 WHALE BUY: 52.48 ETH @ $2065.82
[18:07:05] 🐋 WHALE BUY: 65.35 ETH @ $2065.98
[18:07:05] 🐋 WHALE BUY: 102.58 ETH @ $2066.0
[18:07:05] 🐋 WHALE BUY: 76.09 ETH @ $2066.0
[18:07:05] 🐋 WHALE BUY: 246.93 ETH @ $2066.0
[18:07:05] 🐋 WHALE SELL: 196.66 ETH @ $2065.99
[18:07:21] 🐋 WHALE BUY: 75.83 ETH @ $2066.1
[18:07:26] 🐋 WHALE SELL: 72.57 ETH @ $2066.94
[18:07:37] 🐋 WHALE BUY: 96.36 ETH @ $2067.16
[18:07:53] 🐋 WHALE SELL: 76.29 ETH @ $2066.63
[18:08:14] 🐋 WHALE BUY: 57.14 ETH @ $2066.91
[18:08:14] 🐋 WHALE SELL: 62.78 ETH @ $2066.99
[18:08:25] 🐋 WHALE SELL: 102.48 ETH @ $2066.98
[18:08:41] 🐋 WHALE SELL: 70.89 ETH @ $2067.13
[18:08:46] 🐋 WHALE SELL: 80.11 ETH @ $2067.05
[18:09:45] 🐋 WHALE BUY: 77.12 ETH @ $2067.01
[18:09:51] 🐋 WHALE BUY: 59.70 ETH @ $2067.17
[18:10:49] 🐋 WHALE SELL: 64.33 ETH @ $2068.58
[18:11:16] 🐋 WHALE BUY: 86.77 ETH @ $2068.95
[18:11:16] 🐋 WHALE BUY: 51.24 ETH @ $2068.95
[18:11:48] 🐋 WHALE BUY: 101.22 ETH @ $2069.31
[18:11:53] 🐋 WHALE SELL: 92.88 ETH @ $2069.33
[18:11:59] 🐋 WHALE SELL: 75.67 ETH @ $2067.98
